,Price
1414,5030000.0
1415,4860000.0
1416,4000000.0
1417,7780000.0
1418,4500000.0
1419,4800000.0
1420,4400000.0
1421,4500000.0
1422,7500000.0
1423,4200000.0
1424,4700000.0
1425,11500000.0
1426,6450000.0
1427,6950000.0
1428,5200000.0
1429,12600000.0
1430,5000000.0
1431,4900000.0
1432,4000000.0
1433,10400000.0
1434,6000000.0
1435,4600000.0
1436,7000000.0
1437,5600000.0
1438,5020000.0
1439,7759999.999999999
1440,7500000.0
1441,2000000.0
1442,5050000.0
1443,9860000.0
1444,7500000.0
1445,7000000.0
1446,3500000.0
1447,14000000.0
1448,4990000.0
1449,10000000.0
1450,5500000.0
1451,1200000.0
1452,4000000.0
